,index,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
21,799,LUCIMARA SANTOS DE JESUS,MARA DA SAÚDE,ITACARÉ,PP,SUPLENTE,7,0.0,75.95
22,801,DÉRMENSON DE JESUS ASSUNÇÃO,DEL ASSUNÇÃO DE CABO,ITACARÉ,PP,SUPLENTE,7,0.0,0.0
23,807,SILVANA IVETE MATO GROSSO MATHEUS,SILVANA MATO GROSSO,ITACARÉ,PP,SUPLENTE,3,0.0,75.95
24,824,MARCELA OLIVEIRA RODRIGUES,MARCELA RODRIGUES,ITAMBÉ,CIDADANIA,SUPLENTE,5,0.0,800.0
25,900,SILVINA VIANA SANTOS,SILVINA,PIRIPÁ,PT,SUPLENTE,4,0.0,0.0
26,910,ATAIDE GONÇALVES PEREIRA JUNIOR,PEQUENO,NOVA VIÇOSA,PMN,NÃO ELEITO,7,0.0,0.0
27,923,ILEYLDES DOS SANTOS CONCEIÇÃO,SOI DA FEIRA,CACHOEIRA,PSDB,SUPLENTE,0,0.0,0.0
28,924,JOSEFA DA CONCEICAO DE SOUZA,ZEFA,CACHOEIRA,PSDB,SUPLENTE,0,0.0,0.0
29,926,CLEUZA DE JESUS OLIVEIRA,CLEUZA,CACHOEIRA,PTB,NÃO ELEITO,0,0.0,0.0
30,940,ORLANDO DAMASCENO DOS SANTOS,PIU MURUTUBA,CACHOEIRA,PODE,SUPLENTE,0,0.0,0.0
31,950,SELMA SIMONE DIAS MACEDO,SELMINHA,CACHOEIRA,PODE,SUPLENTE,0,0.0,0.0
32,959,AURIANE EDUARDO GOMES,PROFESSORA AURIANE,SENTO SÉ,PT,SUPLENTE,7,0.0,0.0
33,972,ROLANDO CARLYLE MORAES DE ASSIS,DR KARLAILE ASSIS,IBICARAÍ,MDB,NÃO ELEITO,0,0.0,0.0
34,977,GILVAN DE JESUS SOUZA,GILVAN,PARATINGA,PSD,SUPLENTE,0,0.0,0.0
35,983,ROSITANIA DO ESPIRITO SANTO NASCIMENTO,TANIA,PARATINGA,PSD,SUPLENTE,5,0.0,0.0
36,987,SOLANGE BARRETO DOS SANTOS,SOLANGE BARRETO,PARATINGA,PSD,SUPLENTE,4,0.0,0.0
37,988,ANFLISIA RAMOS DA CONCEICAO,ANFLISIA,PARATINGA,PSD,SUPLENTE,2,0.0,0.0
38,1006,FABRICIO DE OLIVEIRA COSTA,FABRICETE,IBICARAÍ,PSDB,NÃO ELEITO,0,0.0,0.0
39,1007,SANDY DE JESUS SILVEIRA MATOS,SANDY,IBICARAÍ,PSDB,NÃO ELEITO,0,0.0,0.0
40,1009,CHARLES DA SILVA DANTAS,CHARLES DANTAS,IBICARAÍ,PSDB,NÃO ELEITO,0,0.0,0.0
41,1013,BETANIA GALVAO SANTOS,BETANIA DA MAE RAINHA,IBICARAÍ,DEM,SUPLENTE,0,0.0,400.0
42,1017,VANESSA SILVA DE JESUS,VANESSINHA,IBICARAÍ,DEM,SUPLENTE,5,0.0,400.0
43,1032,DEISIANE ROCHA SANTOS,DEISIANE DE NENEM DE JOVINO,ADUSTINA,PSD,SUPLENTE,5,0.0,200.0
44,1045,ADRIANA APARECIDA DOS SANTOS,ADRIANA ENFERMEIRA,ADUSTINA,PSD,SUPLENTE,5,0.0,300.0
45,1107,ANDERSON SANTOS DINIZ,ANDERSON DINIZ,ARAMARI,PODE,NÃO ELEITO,7,0.0,700.0
46,1109,LUCIENE DOS REIS SANTOS,LU,ARAMARI,PODE,NÃO ELEITO,4,0.0,700.0
47,1110,ELOIZA LIMA REIS,KIKIO,ARAMARI,PODE,NÃO ELEITO,4,0.0,700.0
48,1192,DULCILEIA PEREIRA SANDES,LEIA DE WILISSES,MASCOTE,SOLIDARIEDADE,NÃO ELEITO,6,0.0,769.22
49,1193,WALTER SOARES ROCHA,WALTER ROCHA,MASCOTE,SOLIDARIEDADE,NÃO ELEITO,6,0.0,769.22
50,1196,DÉBORA BISPO DOS SANTOS,DEDA,MASCOTE,SOLIDARIEDADE,NÃO ELEITO,2,0.0,769.22
51,1197,SHIRLEI DE MORAIS RODRIGUES,SHIRLEI,MASCOTE,SOLIDARIEDADE,NÃO ELEITO,4,0.0,769.22
52,1218,ROZILEIA DE JESUS SOUZA,ROSE BEBEL,BARRA DO CHOÇA,DEM,SUPLENTE,7,0.0,0.0
53,1238,JOSIMAR DE JESUS DOS SANTOS,JÃO DE MILA,SÃO FELIPE,PTC,NÃO ELEITO,0,0.0,90.0
54,1268,VALDINE DE OLIVEIRA,IRMÃO VAL,IBIRAPUÃ,PODE,NÃO ELEITO,3,0.0,0.0
55,1285,DANIELA SANTOS DE OLIVEIRA,DANIELA SANTOS,VALENTE,PODE,SUPLENTE,3,0.0,0.0
56,1303,VANESSA ARAUJO DOS SANTOS,VANESSA,VALENTE,DEM,SUPLENTE,2,0.0,0.0
57,1315,JOICE LOPES DOS SANTOS,JOICE,FILADÉLFIA,PSC,SUPLENTE,2,0.0,800.0
58,1374,ANA RITA NERY DOS SANTOS,ANA RITA,TANQUINHO,PP,SUPLENTE,4,0.0,0.0
59,1378,STEPHANI BIANCA RODRIGUES SILVA,BIANCA,SANTA BÁRBARA,PTB,SUPLENTE,0,0.0,0.0
60,1379,ABMAEL DA SILVA ESTRELA,ABMAEL,SANTA BÁRBARA,PTB,SUPLENTE,2,0.0,87.5
61,1380,EVANEA SOUZA CERQUEIRA,EVANEA,SANTA BÁRBARA,PTB,SUPLENTE,1,0.0,0.0
62,1381,MARIA CÁTIA ALVES DE LIMA,CÁTIA,SANTA BÁRBARA,PTB,SUPLENTE,2,0.0,0.0
63,1386,MARGARIDA DA ANUNCIAÇÃO LEÃO,MARGARIDA,SANTA BÁRBARA,PTB,SUPLENTE,3,0.0,0.0
64,1427,SIRLENE LOPES PORTUGAL,BILA PORTUGAL,FEIRA DE SANTANA,PTB,NÃO ELEITO,2,0.0,0.0
65,1442,VANESSA SANTOS FREITAS,VANESSA FREITAS,FEIRA DE SANTANA,PTB,NÃO ELEITO,7,0.0,0.0
66,1450,TARCIA OLIVEIRA DE JESUS,TARCIA OLIVEIRA,FEIRA DE SANTANA,PTB,NÃO ELEITO,5,0.0,0.0
67,1466,GRETE OLIVEIRA LEITE,GRETE LEITE,FEIRA DE SANTANA,AVANTE,NÃO ELEITO,0,0.0,0.0
68,1522,VITOR MANUEL PRATES LOURENÇO,VITOR PRATES,JACOBINA,PSL,NÃO ELEITO,4,0.0,0.0
69,1532,DANIELLE COSTA SAPUCAIA DE DEUS,DANIELLE SAPUCAIA,JACOBINA,PSL,NÃO ELEITO,6,0.0,0.0
70,1534,VALDERI BEZERRA DOS SANTOS,DAÍ SANTOS,JACOBINA,PSL,NÃO ELEITO,1,0.0,0.0
71,1535,MARIA VERONICA MOTA PEREIRA,LIA MOTOTAXI,JACOBINA,PSL,NÃO ELEITO,3,0.0,0.0
72,1540,MANUELA OLIVEIRA DE ARAÚJO,MANUELA DE DONA NINA,OUROLÂNDIA,PT,SUPLENTE,3,0.0,2213.0
73,1566,NOELMA CARVALHO XAVIER,NOELMA XAVIER,URANDI,PSD,SUPLENTE,4,0.0,393.15999999999997
74,1587,MARIDALIA MIRANDA SANTOS OLIVEIRA,MARIDALIA DO ARAUJO,JACOBINA,PC do B,SUPLENTE,0,0.0,820.33
75,1612,TACILA QUELLE PEREIRA COSTA,TÁCILA COSTA,JACOBINA,PL,NÃO ELEITO,0,0.0,0.0
76,1625,VANESSA DE JESUS SOARES,VANESSA PERSONAL,AMÉLIA RODRIGUES,PSB,SUPLENTE,4,0.0,600.0
77,1642,TANIA MARIA BATISTA DOS SANTOS,PROFESSORA TÂNIA,SENTO SÉ,REPUBLICANOS,SUPLENTE,6,0.0,0.0
78,1646,VANUZA GONÇALVES MARTINS,VANUZA,BARRA DO ROCHA,PSB,SUPLENTE,2,0.0,0.0
79,1669,GONÇALO DOS ANJOS DE JESUS,GOTE,SÃO FÉLIX,DEM,SUPLENTE,0,0.0,203.0
80,1711,IVETE FRANCISCA DA SILVA MATOS,IVETE,IPIRÁ,PP,SUPLENTE,0,0.0,0.0
81,1717,SUZANE GUIMARAES OLIVEIRA,SUZI,IPIRÁ,PP,SUPLENTE,7,0.0,0.0
82,1776,WLLENE BRAGA SANTOS,WLLENE MOTO TAXI,MEDEIROS NETO,PSB,NÃO ELEITO,0,0.0,0.0
83,1781,FLAVIA ESTEFANIA ZAURISIO CARVALHO,FLAVIA,LICÍNIO DE ALMEIDA,PC do B,SUPLENTE,2,0.0,700.0
84,1794,AGDA GOMES DA SILVA,AGDA,FEIRA DE SANTANA,PSD,SUPLENTE,0,0.0,0.0
85,1798,MARLI LIMA DE SOUZA,MARLI SOUZA,FEIRA DE SANTANA,PSD,SUPLENTE,2,0.0,0.0
86,1887,THAIZE SANTANA DOS SANTOS,THAIZE,FEIRA DE SANTANA,PSC,SUPLENTE,4,0.0,0.0
87,1921,PATRICIA MEIRELES BAHIA,PATY BAHIA,AURELINO LEAL,REPUBLICANOS,SUPLENTE,0,0.0,545.0
88,1978,RAINERIA VIANA BOMFIM,RAY DO MERCADO,CAMPO FORMOSO,PSD,SUPLENTE,3,0.0,0.0
89,1980,LUANA DE SANTANA DE JESUS,LUANA NETA DO LUCINO,CRISTÓPOLIS,PRTB,NÃO ELEITO,0,0.0,0.0
90,1981,RANIEL DE SANTANA DE JESUS,RANIEL,CRISTÓPOLIS,PRTB,NÃO ELEITO,0,0.0,0.0
91,1982,VITOR MANOEL MARQUES DOS SANTOS,VITOR MARQUES,CRISTÓPOLIS,PRTB,NÃO ELEITO,0,0.0,0.0
92,1983,ALESSANDRO JESUS DA CRUZ,ALESSANDRO JÚNIOR,CRISTÓPOLIS,PRTB,NÃO ELEITO,0,0.0,0.0
93,1984,EUFRÁSIO DE OLIVEIRA,EUFRÁSIO DA ASSOCIAÇÃO,CRISTÓPOLIS,PRTB,NÃO ELEITO,3,0.0,0.0
94,1986,PAULO FARIAS DE SOUZA,PAULO FARIAS,CRISTÓPOLIS,PRTB,NÃO ELEITO,1,0.0,0.0
95,2027,DIONE DE AMORIM FREITAS,DIONE AMORIM,CANDEAL,DEM,SUPLENTE,5,0.0,0.0
96,2048,MARCIO SANTANA MORAES,MARCIO MORAES,JAGUAQUARA,PATRIOTA,NÃO ELEITO,7,0.0,0.0
97,2079,IZEANE DA SILVA CARVALHO,IZEANE,CANAVIEIRAS,PTC,NÃO ELEITO,0,0.0,0.0
98,2084,LILIAN PEREIRA DE JESUS,LILIAN,CANAVIEIRAS,PTC,NÃO ELEITO,6,0.0,0.0
99,2101,SINARA VIEIRA DA SILVA ROCHA,SINARA ROCHA,LAJEDÃO,PSB,SUPLENTE,5,0.0,382.0
100,2102,ALTAIR LOPES DE CARVALHO,ALTAIR CONSTRUTOR,LAJEDÃO,PSB,SUPLENTE,1,0.0,382.0
101,2105,VALVULGA ALMEIDA SANTOS,VALVULGA,LAJEDÃO,PSB,SUPLENTE,2,0.0,382.0
102,2106,SORAIA GOMES VIANA,SORAIA DO BODE,LAJEDÃO,PSB,SUPLENTE,7,0.0,382.0
103,2109,TAMARA INDIARA FERREIRA TAMANDARÉ,INDIARA,GONGOGI,REPUBLICANOS,SUPLENTE,5,0.0,463.75000000000006
104,2124,GORETTI DE CASSIA ASSUNÇÃO DAMASCENO,GORETTI DAMASCENO,UBAITABA,PDT,SUPLENTE,5,0.0,1180.0
105,2129,RENATA NASCIMENTO MAGNO,RENATA,UBAITABA,PDT,SUPLENTE,7,0.0,1000.0
106,2141,ANASTACIO GOMES BARBOSA NETO,DR ANASTACIO,GONGOGI,PSD,SUPLENTE,1,0.0,463.75000000000006
107,2143,DINANCI MARTINS DOS SANTOS SIMÕES,DINANCI,GONGOGI,PSD,SUPLENTE,5,0.0,463.75000000000006
108,2249,ROSENITA LEAL RIBEIRO,ROSE RIBEIRO,SALVADOR,PODE,SUPLENTE,2,0.0,29422.5
109,2340,VERA LUCIA DA SILVA OLIVEIRA,VERA,TANQUINHO,PTC,SUPLENTE,2,0.0,0.0
110,2377,JANE DE JESUS SILVA,JANE DE TAUAPE,LICÍNIO DE ALMEIDA,PSD,SUPLENTE,2,0.0,1770.0
111,2395,SÍLVIA DOS SANTOS OLIVEIRA,SÍLVIA,ITAMBÉ,REPUBLICANOS,SUPLENTE,4,0.0,300.0
112,2398,VANUSA OLIVEIRA PORTO LOPES,VANUSINHA,ITAMBÉ,REPUBLICANOS,SUPLENTE,1,0.0,300.0
113,2442,FIDELCINO CELESTINO DA SILVA,NEGUINHO DO PICOLÉ,MEDEIROS NETO,PATRIOTA,SUPLENTE,6,0.0,70.0
114,2494,SONIA SANTOS DA CRUZ,SONIA ZURK,IGRAPIÚNA,PTB,NÃO ELEITO,2,0.0,0.0
115,2508,JOSEANE SENA DA CONCEICAO REIS,NEGA,AMÉLIA RODRIGUES,PSD,SUPLENTE,7,0.0,300.0
116,2564,MARLUCE DE JESUS,MARLUCE,CAPIM GROSSO,PC do B,SUPLENTE,2,0.0,119.17
117,2649,ARLETE SOUZA SANTOS DAMASCENO,PRO ARLERTE,CACHOEIRA,PSD,SUPLENTE,7,0.0,1000.0
118,2653,NEIDE DOS SANTOS SALES  DA SILVA,NEIDE,CACHOEIRA,PSD,SUPLENTE,1,0.0,0.0
119,2663,VANUZA MUNIZ SANCHO,VANUZA,CACHOEIRA,PL,SUPLENTE,0,0.0,0.0
120,2664,ELOIDE CONCEIÇAO DO ROSARIO,IRMA ELOIDE,CACHOEIRA,PL,SUPLENTE,0,0.0,0.0
121,2666,LUCIMARA DE SOUZA,LUCIMARA,CACHOEIRA,PL,SUPLENTE,0,0.0,0.0
122,2678,JOSÉ HENRIQUE FERNANDES DE OLIVEIRA,JOSÉ HENRIQUE,ITAMBÉ,PSD,SUPLENTE,5,0.0,300.0
123,2714,DAIANE CARLANE PEREIRA BASTOS,DAIANE CARLANE,BARRA DO MENDES,PSD,SUPLENTE,5,0.0,0.0
124,2737,ALDACY SACRAMENTO RAMOS,PRETINHA,MARAÚ,PSDB,SUPLENTE,7,0.0,600.0
125,2742,IOLANDA LIMA OLIVEIRA,IOLANDA,MARAÚ,PSDB,SUPLENTE,7,0.0,600.0
126,2776,GILCELIA PIRES VIEIRA,GILCELIA VIEIRA,CRUZ DAS ALMAS,DEM,SUPLENTE,6,0.0,0.0
127,2956,LAILSON DA COSTA REIS,LAILSON COSTA,JAGUAQUARA,PSL,NÃO ELEITO,7,0.0,0.0
128,2971,FERNANDO SANDES AMARAL,FERNANDO SANDES,JAGUAQUARA,PSL,NÃO ELEITO,0,0.0,0.0
129,2991,RENATA PATRICIA ALMEIDA DOS SANTOS,RENATA,PRESIDENTE TANCREDO NEVES,MDB,SUPLENTE,7,0.0,0.0
130,2993,SIRLEIDE DO NASCIMENTO SOUZA SANTOS,SIRLEIDE,PRESIDENTE TANCREDO NEVES,MDB,SUPLENTE,6,0.0,0.0
131,2994,ADRIANA DE JESUS DOS SANTOS,ADRIANA,PRESIDENTE TANCREDO NEVES,MDB,SUPLENTE,2,0.0,0.0
132,3051,MAYANA PEREIRA MOURA,MAYANA MOURA,CANSANÇÃO,PROS,SUPLENTE,0,0.0,0.0
133,3055,LUDMILA PEREIRA DOS SANTOS BACELAR,LUDY BACELAR,CANSANÇÃO,PROS,SUPLENTE,2,0.0,0.0
134,3086,VINICIUS SOARES FERNANDES,VINICIUS FERNANDES,EUNÁPOLIS,PDT,SUPLENTE,4,0.0,0.0
135,3088,INAYÁ CÂNCIO AZEVEDO,INAYÁ,EUNÁPOLIS,PDT,SUPLENTE,4,0.0,0.0
136,3102,MARIA IONA CORREIA DE FRANCA,IONA,MONTE SANTO,PSDB,NÃO ELEITO,7,0.0,212.5
137,3194,ELZA DE JESUS TELES,ELZA,IGRAPIÚNA,REPUBLICANOS,SUPLENTE,7,0.0,0.0
138,3226,GENIVAL FERREIRA OLIVEIRA,INDIO DO PORTÃO,GOVERNADOR MANGABEIRA,REPUBLICANOS,SUPLENTE,7,0.0,0.0
139,3232,CLEIZIANE SANTOS CONCEIÇÃO FELIPE,ANNE DA BARROADA,GOVERNADOR MANGABEIRA,REPUBLICANOS,SUPLENTE,5,0.0,0.0
140,3239,GILDASIO DOREA MIRANDA,GIL DA VILA,MURITIBA,DC,NÃO ELEITO,4,0.0,0.0
141,3245,JOSENILSON CARLOS CONCEIÇÃO DO AMPARO,JOSENILSON CARLOS,MURITIBA,DC,NÃO ELEITO,2,0.0,0.0
142,3246,VERÔNICA COELHO CUNHA,NINHA,MURITIBA,DC,NÃO ELEITO,1,0.0,0.0
143,3249,VALMIR DOS SANTOS,VALMIR DA FANFARRA,MURITIBA,PP,NÃO ELEITO,7,0.0,0.0
144,3268,FELICIANO DAMASCENO DO CARMO,BIIU DO CANDEAL,MURITIBA,PDT,NÃO ELEITO,4,0.0,0.0
145,3273,MARCELO GONÇALVES SENA,MARCELO PORTEIRO,MURITIBA,PDT,NÃO ELEITO,0,0.0,0.0
146,3310,JULIANA ALVES DA SILVA,JULIANA,MURITIBA,AVANTE,SUPLENTE,3,0.0,0.0
147,3357,GISLÂINE DE ALMEIDA DOS SANTOS,LENINHA,CRUZ DAS ALMAS,PDT,NÃO ELEITO,0,0.0,0.0
148,3363,AGNALDO DA SILVA,DINAL CAPOEIRISTA,CRUZ DAS ALMAS,PDT,NÃO ELEITO,5,0.0,0.0
149,3370,EDENILDA DA SILVA OLIVEIRA,DECA,IGRAPIÚNA,DEM,SUPLENTE,5,0.0,0.0
150,3375,ANTONIO DE JESUS MIRANDA,ANTONIO MIRANDA,IGRAPIÚNA,DEM,SUPLENTE,2,0.0,0.0
151,3395,VANUSA DOS SANTOS,VANUSA DO ÓCULOS,ITUBERÁ,PV,SUPLENTE,6,0.0,0.0
152,3405,MARIA DA LAPA DOS SANTOS,MARIA DA LAPA,ITUBERÁ,PV,SUPLENTE,1,0.0,0.0
153,3433,SIDINEI ALVES DOS SANTOS,SIDINEY,ARAMARI,PSC,NÃO ELEITO,0,0.0,161.01
154,3435,SARAJANE CORREIA BATISTA,SARAJANE,ARAMARI,PSC,NÃO ELEITO,0,0.0,161.01
155,3437,DAYANE BATISTA COUTINHO,DAYANE,ARAMARI,PSC,NÃO ELEITO,0,0.0,161.01
156,3438,GILDARIA DE JESUS SANTOS,NEM DO COQUEIRO,ARAMARI,PSC,NÃO ELEITO,0,0.0,161.01
157,3439,JOSI MEIRE ESTRELLA GOMES,JOSI ESTRELLA,ARAMARI,PSC,NÃO ELEITO,0,0.0,161.01
158,3441,MICHAEL DE JESUS,BIG DO POVO,ARAMARI,PSC,NÃO ELEITO,2,0.0,161.01
159,3447,ALINE DOS SANTOS SENA,ALINE SENA,ARAMARI,PP,SUPLENTE,4,0.0,161.01
160,3478,EDICELIA DA SILVA DOS SANTOS,EDICELIA,RIACHÃO DAS NEVES,PP,SUPLENTE,3,0.0,0.0
161,3519,DOMINGOS ONILSON DE ALCANTARA SILVA,DOMINGOS DO ENTRONCAMENTO,RIACHÃO DAS NEVES,PSDB,SUPLENTE,6,0.0,0.0
162,3524,JOSILENE DA SILVA PEREIRA,LENE,RIACHÃO DAS NEVES,PSDB,SUPLENTE,0,0.0,500.0
163,3556,PAULA DE CARVALHO SANTOS FERREIRA,PAULA CARVALHO,FEIRA DE SANTANA,PL,SUPLENTE,0,0.0,0.0
164,3562,AVAILDA BARBOSA PACHECO,NAI,IBICUÍ,PC do B,SUPLENTE,0,0.0,0.0
165,3590,GERSON GOMES DOS SANTOS,NEGÃO GERSON,ALAGOINHAS,PTC,NÃO ELEITO,3,0.0,173.9
166,3602,TEODORO FERNANDO FILHO,TEODORO FERNANDO,ALAGOINHAS,PTC,NÃO ELEITO,5,0.0,173.9
167,3606,SIMONE MARIA NASCIMENTO SANTOS,SIMONE,ALAGOINHAS,PTC,NÃO ELEITO,2,0.0,173.9
168,3609,SILMARA SANTOS DA CRUZ,SILMARA,ALAGOINHAS,PTC,NÃO ELEITO,0,0.0,173.9
169,3658,NATANA DA SILVEIRA MONTEIRO,NATANA,SANTA CRUZ CABRÁLIA,PP,SUPLENTE,5,0.0,400.9
170,3683,ANDERSON FRANCISCO OLIVEIRA DA PAZ,CHICO DO CLUBE,ENTRE RIOS,PDT,SUPLENTE,4,0.0,0.0
171,3719,MARIA DA CONCEIÇÃO SANTOS,LIA,BARREIRAS,PODE,SUPLENTE,1,0.0,1179.9199999999998
172,3720,PATRICIA DOS SANTOS,PATRICIA,BARREIRAS,PODE,SUPLENTE,7,0.0,1176.32
173,3727,RAILDA DOS SANTOS,RAILDA,ENTRE RIOS,PT,NÃO ELEITO,5,0.0,0.0
174,3747,LAURA MARIA ROCHA RIBEIRO,LAURA,ENTRE RIOS,PSD,SUPLENTE,1,0.0,330.0
175,3779,SILVIA JESUS BATISTA,SILVIA KIRIRI,BARREIRAS,DEM,SUPLENTE,7,0.0,1283.0
176,3785,PAULO HENRIQUE DE ALMEIDA,PAULO GUERRA,UAUÁ,PL,SUPLENTE,5,0.0,0.0
177,3795,ILMA MAILAN DA SILVA BATISTA,MAILAN BATISTA,CAMPO FORMOSO,PT,SUPLENTE,5,0.0,0.0
178,3802,ERONILDES DE ALMEIDA SOARES,NILDINHA,CAMPO FORMOSO,PT,SUPLENTE,2,0.0,0.0
179,3809,MARIA BETANIA LEMOS PINHEIRO PERALVA,BETANIA PERALVA,CAMPO FORMOSO,PT,SUPLENTE,7,0.0,2000.0
180,3885,LETICIA CONCEIÇÃO FERREIRA,"LETICIA, PIOR QUE TA  NÃO FICA",CARDEAL DA SILVA,PROS,SUPLENTE,3,0.0,0.0
181,3891,DANIELA SANTOS CAMPOS,DANI,CARDEAL DA SILVA,PROS,SUPLENTE,1,0.0,0.0
182,3897,DEISEANE ISRAELA DE AQUINO DOS SANTOS,DEISE,VALENÇA,PTC,NÃO ELEITO,0,0.0,380.0
183,3898,MAILANE VITORIA SANTOS COSTA,VITORIA,VALENÇA,PTC,NÃO ELEITO,0,0.0,380.0
184,3899,MARIA CELIA NUNES DA SILVA,CELIA NUNES,VALENÇA,PTC,NÃO ELEITO,7,0.0,380.0
185,3917,SHAYANE PATRICIA NASCIMENTO MENDONÇA,SHAYANE MENDONÇA,VALENÇA,AVANTE,SUPLENTE,6,0.0,800.0
186,3965,ROSANGELA GUILHERMINA CONCEIÇÃO DE AMORIM,ROSA DA SOPA,VALENÇA,PP,SUPLENTE,6,0.0,380.0
187,3978,JOICE CUNHA LEAL,JOICE DE NADIR,VALENÇA,PP,SUPLENTE,4,0.0,0.0
188,3993,EDIMILSON COSTA DE SOUZA,EDIMILSON POTÓ,ITABERABA,PC do B,SUPLENTE,5,0.0,0.0
189,3996,RUBINEA DA SILVA SANTOS,RUBI DA ÓTICA,ITABERABA,PC do B,SUPLENTE,1,0.0,0.0
190,3998,KANANDA DE MELO ALMEIDA,KANANDA LARISSA,ITABERABA,PC do B,SUPLENTE,0,0.0,0.0
191,4005,MARIZETE DE JESUS CARVALHO,MARIZETE CARVALHO,ITABERABA,PC do B,SUPLENTE,1,0.0,0.0
192,4029,ROZIVAL DE JESUS DOS RES,ROZIVAL RÉS,VALENÇA,MDB,NÃO ELEITO,0,0.0,0.0
193,4030,MARIA DOMINGAS SANTOS DE JESUS,MARA DE JEQUIRIÇA,VALENÇA,MDB,NÃO ELEITO,0,0.0,0.0
194,4064,ROSIVAL DOS ANJOS OLIVEIRA,BAUBAU PEDREIRO,CANAVIEIRAS,REPUBLICANOS,SUPLENTE,5,0.0,242.44
195,4071,MARIA ANGELA BAHIA DIAS,MARIA ANGELA,CANAVIEIRAS,REPUBLICANOS,SUPLENTE,7,0.0,241.23000000000002
196,4074,ROBERTO LEAL MOCELIN,ROBERTO MOCELIM,CANAVIEIRAS,REPUBLICANOS,SUPLENTE,6,0.0,242.44
197,4077,SIRLEYDE REIS DA SILVA,SICA REIS,CANAVIEIRAS,REPUBLICANOS,SUPLENTE,3,0.0,241.23000000000002
198,4096,GILVANICE OLIVEIRA SALVADOR,NEGA NENGO,AURELINO LEAL,PSD,SUPLENTE,5,0.0,500.0
199,4115,ELIANE SAMPAIO LEAL PENZA CUNHA,ELIANE LEAL,ITABUNA,PSDB,NÃO ELEITO,3,0.0,0.0
200,4125,STHEFANY MELO SANTOS,STHEFANY MELO,ITABUNA,PSDB,NÃO ELEITO,1,0.0,0.0
201,4129,JOSÉ LEONARDO SANTOS DA CRUZ,LEONARDO CRUZ,ITABUNA,PSDB,NÃO ELEITO,1,0.0,0.0
