,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
72,WASHINGTON PARAGUAÇU DO NASCIMENTO SILVA,WASHINGTON DE PASSÉ,CANDEIAS,PP,SUPLENTE,850,0.0,0.0
73,JOSE CARLOS CONCEIÇÃO DOS ANJOS,ZÉ CARLOS DO BAHIA,SALVADOR,PSL,SUPLENTE,848,0.0,1125.0
74,JOAO BATISTA DA SILVA,BATISTA,MONTE SANTO,PSC,ELEITO POR QP,847,0.0,1330.0
75,EDILSON FERREIRA LIMA,DUY DO FRANGO,ALAGOINHAS,REPUBLICANOS,SUPLENTE,845,0.0,0.0
76,ELIONAI SANTOS PINHEIRO,ELIONAI PINHEIRO,SALVADOR,REPUBLICANOS,SUPLENTE,840,0.0,6350.0
77,SALVIANO NUNES DE SOUZA,SALVINHO,BARRA,PL,ELEITO POR QP,839,0.0,850.0
78,HENRIQUE OLIVEIRA DE CARVALHO,PROFESSOR HENRIQUE,SALVADOR,PATRIOTA,SUPLENTE,833,0.0,294.11
79,JAILSON DE ARAÚJO SOARES JÚNIOR,JUNIOR CROSS,FEIRA DE SANTANA,PV,SUPLENTE,823,0.0,0.0
80,ELI SAMUEL SANTANA PEREIRA,ELI SAMUEL,SALVADOR,PATRIOTA,SUPLENTE,820,0.0,294.11
81,JAMERSON DOS SANTOS SANTIAGO,JAMERSON PESCADOR,SENTO SÉ,PSD,SUPLENTE,818,0.0,0.0
82,MARCELO FRANCISCO DA SILVA,LELO DO PROJETO,ABARÉ,PT,ELEITO POR QP,816,0.0,0.0
83,FERNANDO LEONARDO DA PAZ JUNIOR,FERNANDINHO DA BOA SEMENTE,JUAZEIRO,PSDB,SUPLENTE,813,0.0,0.0
84,EVERTON ALVES DE OLIVEIRA,REI DOS PEDRINHAS,VITÓRIA DA CONQUISTA,REPUBLICANOS,NÃO ELEITO,803,0.0,1060.0
85,GILMAR PEREIRA ARAUJO,GILMAR PEREIRA,GLÓRIA,PP,ELEITO POR QP,795,0.0,6350.0
86,EDUARDO DE FREITAS LEITE,DR EDUARDO LEITE,FEIRA DE SANTANA,PATRIOTA,SUPLENTE,794,0.0,0.0
87,ZENILDO ABREU OLIVEIRA,ZENILDO ABREU,TANHAÇU,DEM,ELEITO POR MÉDIA,792,0.0,500.0
88,NEEMIAS SOUZA SANTOS,NEEMIAS SOUZA,SALVADOR,PTB,SUPLENTE,790,0.0,0.0
89,HERMINIO SANTOS DE OLIVEIRA FILHO,TIO CHINA,FEIRA DE SANTANA,PSC,SUPLENTE,787,0.0,1500.0
90,MERIVAL BARROSO BISPO,PASTOR MERIVAL BISPO,CAMAÇARI,PP,SUPLENTE,779,0.0,1570.0
91,ELYABE LOPES RIBEIRO BARROS,ELYABE BARROS,SENTO SÉ,PSDB,ELEITO POR QP,775,0.0,0.0
92,LUSIANE MAIA DE SOUZA,LUSIANE DA SAÚDE,ITAJUÍPE,PSD,ELEITO POR QP,773,0.0,0.0
93,NILDO ALCANTARA DE SOUZA,NILDO ALCANTARA,BARRA,PL,ELEITO POR QP,769,0.0,850.0
94,ISABELA OLIVEIRA CONDE,ISABELA CONDE,SALVADOR,PP,NÃO ELEITO,766,0.0,5000.0
95,LUCIANO LUNA SOUZA,LUCIANO LUNA,ILHÉUS,PV,ELEITO POR MÉDIA,764,0.0,282.5
96,RITA DINIZ DA SILVA,RITA DINIZ,JUAZEIRO,DC,SUPLENTE,763,0.0,0.0
97,ANTONIO MARIO TOURINHO BARBOSA,MÁRIO PROPAGANDA,SALVADOR,PP,NÃO ELEITO,758,0.0,0.0
98,MATEUS ARAUJO AFFONSO MATTOS,MATEUS MALA,ITAJUÍPE,PODE,ELEITO POR QP,754,0.0,0.0
99,ANTONIO ALMEIDA DOS SANTOS,TÕE DE DIVÁ,BOQUIRA,PSB,ELEITO POR QP,753,0.0,1304.0
100,JEMERSON SANTOS SOARES,PR JEMERSON,SALVADOR,AVANTE,SUPLENTE,751,0.0,8578.36
101,OSVALDO SANTANA ROCHA FILHO,OSVALDO SANTANA,SALVADOR,PATRIOTA,SUPLENTE,748,0.0,294.11
102,GILMAR ALVES DE SANTANA,AMBA,RAFAEL JAMBEIRO,PT,ELEITO POR QP,742,0.0,0.0
103,PLINIO BASTOS DE MATOS FILHO,PLINIO FILHO,BARRA DO MENDES,PSD,ELEITO POR QP,739,0.0,2110.0
104,ANDERSON CARLOS DA SILVA CARVALHO,ANDERSON XARÁ,ALAGOINHAS,REPUBLICANOS,SUPLENTE,738,0.0,0.0
105,CARLOS ANIBAL FERREIRA MATOS,ALIMBA,SALVADOR,CIDADANIA,SUPLENTE,737,0.0,0.0
106,LUCAS GONÇALVES DE JESUS,LUCAS GONÇALVES LG,SALVADOR,PDT,SUPLENTE,736,0.0,2500.0
107,MARIVALDO DO CARMO BOA MORTE,MARIVALDO BOA MORTE,SALVADOR,DC,SUPLENTE,736,0.0,3525.0
108,ANTONIO MARTINS DOS SANTOS,TONHO DO BODE,FORMOSA DO RIO PRETO,PSD,ELEITO POR QP,730,0.0,400.13
109,ELIAN TAVARES DE MELO,ELIAN MELO,SALVADOR,PATRIOTA,SUPLENTE,726,0.0,1419.1100000000001
110,JOSIAS PAIXÃO DUARTE,DODE,SALVADOR,PMN,SUPLENTE,713,0.0,0.0
111,UBIRATAN DE AMORIM BASTOS,UBIRATAN BASTOS,JUAZEIRO,PDT,SUPLENTE,709,0.0,13750.0
112,CLEILTON MENDES DO CARMO,GEPEU,SALVADOR,SOLIDARIEDADE,SUPLENTE,708,0.0,0.0
113,WILLIS JOSÉ DE SOUZA JUNIOR,DR. WILLS DO DOCE,JUAZEIRO,PP,SUPLENTE,706,0.0,60.0
114,AILTON PIER DA PAIXÃO COSTA,AILTON DE MIUDINHO,PLANALTO,PSD,ELEITO POR MÉDIA,704,0.0,0.0
115,VAGNES DOMINGUES CARDOSO,ZIM DO BURITI,BOQUIRA,PSB,ELEITO POR QP,701,0.0,1304.0
116,EDIVAN SOARES DE ARAUJO,VAN DE NINGA,CATU,PATRIOTA,ELEITO POR QP,700,0.0,0.0
117,AELSON GONÇALVES LIMA,GALEGO DA BATERIA,BOQUIRA,PSD,ELEITO POR QP,700,0.0,1304.0
118,CARLOS JOSÉ DOS SANTOS MACEDO,CARLINHOS DE MISSUCA,FEIRA DE SANTANA,MDB,SUPLENTE,699,0.0,0.0
119,MISAEL BANDEIRA LOPES,MISA BANDEIRA,PÉ DE SERRA,DEM,ELEITO POR QP,698,0.0,0.0
120,JOBSON RODRIGUES DA SILVA,BINHO DA PIZZA,CAMAÇARI,PSL,SUPLENTE,697,0.0,8066.13
121,EUDORICO ALVES BATISTA,EUDORICO ALVES,SALVADOR,PMN,SUPLENTE,696,0.0,1150.0
122,EDILSON NUNES ALECRIM,EDILSON CACHOEIRA,IRECÊ,REPUBLICANOS,ELEITO POR MÉDIA,694,0.0,1000.0
123,LUIZ AURELIO SOARES DE ANDRADE,AURELIO,BARRA,PP,SUPLENTE,691,0.0,850.0
124,FABIANO DE LIMA,BILÚ,AMÉLIA RODRIGUES,PP,ELEITO POR QP,690,0.0,0.0
125,ADAILTON CORREIA DA CRUZ,ALONGADO DE MARCIO MORENO,MARAGOGIPE,REPUBLICANOS,ELEITO POR QP,688,0.0,0.0
126,ADÃO LIMA DE ANDRADE,ADÃO LIMA,ITABUNA,PSB,ELEITO POR MÉDIA,687,0.0,1063.8
127,PAULO PEREIRA DA SILVA,PAULINHO DA BAHIA,SALVADOR,PTB,SUPLENTE,686,0.0,0.0
128,JOSÉ HORÁCIO SANTOS NETO,HORÁCIO DO PÃO,ILHÉUS,PT,SUPLENTE,684,0.0,720.0
129,PAULO GOMES DE OLIVEIRA,PAULO GOMES,GLÓRIA,PP,ELEITO POR QP,676,0.0,6350.0
130,HELEN LUCY CUNHA SILVA,DRA HELEN,LUÍS EDUARDO MAGALHÃES,DEM,SUPLENTE,676,0.0,95.0
131,ADELAR BRACHMANN,ADELAR DO CAPIM,CRISTÓPOLIS,PSD,ELEITO POR QP,675,0.0,3400.5
132,LUCIANO ALMEIDA DE JESUS,ALMEIDA,SALVADOR,PTC,NÃO ELEITO,675,0.0,413.0
133,ANTONIO BONFIM MOREIRA,BONFIM TOINHO,SALVADOR,PC do B,SUPLENTE,673,0.0,250.0
134,OSMAR FERREIRA DE SOUZA,OSMAR,INHAMBUPE,PODE,ELEITO POR QP,673,0.0,362.5
135,DAVISON RIBEIRO NEVES,PINGO DO SÃO ROQUE,ITABUNA,PSL,SUPLENTE,672,0.0,676.18
136,ODENILTON CARDOSO DE ARAUJO,ITO CARDOSO,SERRINHA,PT,ELEITO POR MÉDIA,671,0.0,3170.0
137,EDVALDO NETO GOMES,EDVALDO GOMES,ILHÉUS,DEM,ELEITO POR QP,670,0.0,0.0
138,CLAUDIO EMANOEL PINHEIRO AMORIM,CLÁUDIO AMORIM,SALVADOR,PSDB,SUPLENTE,668,0.0,485.0
139,ROBERTO ALVES DA SILVA,PASTOR ROBERTO,JUAZEIRO,PDT,SUPLENTE,667,0.0,0.0
140,WILSON MOURA DO CARMO,WILSON DO RIO DO PEIXE,TUCANO,DEM,SUPLENTE,667,0.0,0.0
141,JEAN CARLOS DA SILVA MOREIRA,JEAN CARLOS,MASCOTE,REPUBLICANOS,ELEITO POR QP,665,0.0,769.22
142,ROBSON ALVES RIGAUD,ROBSON RIGAUD,ITABUNA,PSB,SUPLENTE,662,0.0,413.8
143,ARY MENEZES PASSOS,ARY PASSOS,SALVADOR,PATRIOTA,SUPLENTE,662,0.0,1419.1100000000001
144,LUIZ CARLOS SOUZA DE JESUS,MARROM DA SAÚDE,FEIRA DE SANTANA,PSDB,SUPLENTE,659,0.0,0.0
145,FABIO MELLO DE ANDRADE,FABIO FRANGA,TEOLÂNDIA,REPUBLICANOS,ELEITO POR QP,658,0.0,0.0
146,SOLANGE DE OLIVEIRA SANTANA FILHA,SOL DO JULIANO,SALVADOR,PP,NÃO ELEITO,658,0.0,0.0
147,DEVANIR RODRIGUES FIGUEIRA,DEVANIR FIGUEIRA,SÃO DESIDÉRIO,DEM,ELEITO POR MÉDIA,657,0.0,641.0
148,MAURICIO SIQUEIRA CAVALCANTI,MAURICIO BROTHERZINHO,JUAZEIRO,PATRIOTA,SUPLENTE,655,0.0,250.0
149,JACKSON REIS DOS SANTOS,JACKSON REIS,JUAZEIRO,PC do B,SUPLENTE,652,0.0,1800.0
150,ROBERTO CORREIA DE ANDRADE,ROBERTINHO ANDRADE,FORMOSA DO RIO PRETO,PSD,ELEITO POR QP,651,0.0,400.13
151,MAURICIO PAULO ALMEIDA DA SILVA,MAURICIO QUALIDADE,CAMAÇARI,PSL,SUPLENTE,651,0.0,4466.13
152,EDILSON SANTOS RIOS,BOQUINHA DO GÁS,SALVADOR,PV,SUPLENTE,649,0.0,3000.0
153,DOMINGOS RODRIGUES DE SOUSA FILHO,DOMINGOS DA COLÔNIA,JUAZEIRO,PP,SUPLENTE,648,0.0,60.0
154,ANTONIO FERREIRA DA SILVA,ANTÔNIO DE URCINO,TREMEDAL,PSD,ELEITO POR QP,646,0.0,0.0
155,ELIEZER SALOMÉ RAMOS FERREIRA,ELIEZER DA FARINHA,INHAMBUPE,PODE,ELEITO POR QP,645,0.0,362.5
156,ALISSON MARCEL CORDEIRO ALVES,ALISSON DE JOÃOZINHO,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,645,0.0,0.0
157,CLAUDENICE CARVALHO BORGES PEREIRA,NINHA,BARRA,PSDB,ELEITO POR MÉDIA,644,0.0,0.0
158,VANILSON DIAS DE ARAÚJO,VANILSON (DORA),MANSIDÃO,SOLIDARIEDADE,ELEITO POR QP,643,0.0,0.0
159,RONALDO MENEZES DA SILVA,CORONEL RONALDO MENEZES,SALVADOR,PATRIOTA,SUPLENTE,641,0.0,631.61
160,FERNANDO SANTOS CONCEIÇÃO,FERNANDO,VERA CRUZ,PSD,SUPLENTE,641,0.0,350.0
161,ELIVALDO ROSENO SANTOS,VALDO LAJES,ILHÉUS,PSL,SUPLENTE,641,0.0,282.5
162,JORGE SOUZA E SILVA FILHO,DR. JORGINHO,SENHOR DO BONFIM,PC do B,SUPLENTE,640,0.0,800.0
163,MACEDÔNIO ARAUJO SIQUEIRA,MACEDÔNIO,CAMAÇARI,REPUBLICANOS,SUPLENTE,640,0.0,2000.0
164,CARLOS ANTONIO DOS SANTOS,PÉ DA SAÚDE,CABACEIRAS DO PARAGUAÇU,PSD,ELEITO POR QP,638,0.0,0.0
165,JEFFERSON ROBERTO SOUZA,JEFFERSON ROBERTO,FEIRA DE SANTANA,PSC,SUPLENTE,632,0.0,1500.0
166,CLAUDIO PINHEIRO DOS SANTOS,CLÁUDIO,OLINDINA,PSD,ELEITO POR QP,630,0.0,1380.0
167,EMANUEL OLIVEIRA COSTA,MANEZINHO DA VALSA,SALVADOR,AVANTE,SUPLENTE,628,0.0,8578.36
168,AVANI DAS VIRGENS DE ALMEIDA,AVANI ALMEIDA A LOIRA,SALVADOR,PATRIOTA,SUPLENTE,625,0.0,294.11
169,CARLOS ROBERTO DOS SANTOS OLIVEIRA,ROBERTO OLIVEIRA,SALVADOR,PSDB,SUPLENTE,625,0.0,485.0
170,EDSON TEIXEIRA DA CUNHA,EDI,OLIVEIRA DOS BREJINHOS,PSD,ELEITO POR QP,625,0.0,4830.0
171,ANTONIO MARCOS OLIVEIRA DA COSTA,ANTÔNIO MARCOS AMIGO DO POVO,GLÓRIA,PP,ELEITO POR QP,624,0.0,6150.0
172,ROMERO SANTIAGO BARBOSA NETO,ROMERO,BARRA,PL,ELEITO POR QP,623,0.0,850.0
173,JOILHO BARRETO LIMA,JOILHO,MATA DE SÃO JOÃO,DEM,SUPLENTE,622,0.0,0.0
174,LUIS CLAUDIO OLIVEIRA DOS SANTOS,PROFESSOR LUIS CLAUDIO,JUAZEIRO,REDE,SUPLENTE,621,0.0,0.0
175,WILLIAM FAYAD DIB PEREIRA,WILLIAM FAYAD VETERINARIO,LUÍS EDUARDO MAGALHÃES,PSDB,SUPLENTE,621,0.0,95.0
176,JANAILDES BARBOSA SANTOS,JANE BARBOSA,SALVADOR,PT,SUPLENTE,618,0.0,5900.0
177,ROGERIO FERREIRA PINTO,ROGÉRIO DO JOSÁ,MONTE SANTO,PSC,SUPLENTE,618,0.0,1330.0
178,MIGUEL ALVES DE ARAÚJO,MIGUEL DA CANARINA,BARRA DO MENDES,PSD,ELEITO POR QP,616,0.0,710.0
179,EDMILSON AFONSO DA SILVA,MISSÃO DE DOTOR,GLÓRIA,PP,ELEITO POR QP,616,0.0,6350.0
180,VILMA SANTOS REIS,VILMA DO PEIXE,SERRA PRETA,DEM,ELEITO POR QP,615,0.0,0.0
181,GILBERTO DA CRUZ SILVA,BETINHO BEBETO,JUAZEIRO,PL,SUPLENTE,611,0.0,0.0
182,ADILSON DE OLIVEIRA SANTOS,ADILSON DO JACÚ,SERRA PRETA,DEM,ELEITO POR QP,611,0.0,0.0
183,JAILSON BONFIM LIMA,PROFESSOR JAILSON,MARAGOGIPE,REPUBLICANOS,ELEITO POR QP,611,0.0,600.0
184,ALEXLANDIJANE ANTUNES DA SILVA,ALEX DE SANTANA,CASA NOVA,PDT,SUPLENTE,610,0.0,0.0
185,IVAN CANDIDO PINHEIRO DA SILVA,IVAN PINHEIRO,SALVADOR,PATRIOTA,SUPLENTE,607,0.0,631.61
186,VALMIR BELIZARIO,VALMIR DAS UVAS,JUAZEIRO,PTC,SUPLENTE,606,0.0,250.0
187,ROBERIO REIS DOS SANTOS,ROBERIO DE JACUIPE,SÃO SEBASTIÃO DO PASSÉ,PSD,SUPLENTE,603,0.0,0.0
188,ROBERVAL DA FONSECA COSTA,ROBERVAL,CAMAÇARI,REPUBLICANOS,SUPLENTE,599,0.0,4466.13
189,AILSON DE SOUZA SELIS,AILSON SELIS,MUQUÉM DO SÃO FRANCISCO,PSB,ELEITO POR QP,599,0.0,7250.04
190,SEBASTIÃO TEIXEIRA DE ARAUJO,TIÃO DE RODA VELHA,SÃO DESIDÉRIO,PSDB,ELEITO POR QP,597,0.0,1921.8999999999999
191,ERINALDO NASCIMENTO SODRÉ,ERINHO,IAÇU,PSD,ELEITO POR QP,595,0.0,300.0
192,ROBERIO SANTOS BARROS,ROBERIO,PRADO,PROS,ELEITO POR QP,594,0.0,128.0
193,CLODOALDO DA COSTA BRAGA,CLODOALDO BRAGA,MUQUÉM DO SÃO FRANCISCO,PP,ELEITO POR QP,593,0.0,7706.06
194,JONATAS NEGREIROS ROCHA GOMES,JONATAS DE ROMEU,APORÁ,PSD,ELEITO POR QP,592,0.0,0.0
195,GEAN MARCIO DE SOUZA SILVA,GEAN DE VASCONCELOS,ITAJUÍPE,PODE,ELEITO POR QP,591,0.0,0.0
196,WILTON MELO SANTOS,WILTON MELO,ANGUERA,PL,ELEITO POR QP,590,0.0,500.0
197,JAMILTON NASCIMENTO DOS SANTOS,JAMILTON JAI,BOQUIRA,PSD,ELEITO POR QP,590,0.0,1304.0
198,ILDERLANDIO SAMPAIO TRINDADE,ILDERLANDIO,MUNDO NOVO,PSB,ELEITO POR QP,588,0.0,500.0
199,PAULINO MAGALHÃES ROCHA,PAULINHO DE INHOBIM,VITÓRIA DA CONQUISTA,DEM,SUPLENTE,588,0.0,0.0
200,JOSÉ DERMEVAL FERREIRA DOS SANTOS,IRMÃO DEL,FEIRA DE SANTANA,PSDB,SUPLENTE,586,0.0,0.0
201,RAFAEL DA CRUZ SANTOS,RAFAEL DO DEPOSITO,CAMAÇARI,CIDADANIA,SUPLENTE,586,0.0,4466.13
